Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1764873510364,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,18.18181800842285,15.000000953674316,22.22222328186035,10,26.3157901763916,4.761904716491699,21.052631378173828,10,31.57894515991211,25,26.3157901763916,21.052631378173828,21.052631378173828,5.263157844543457,25,28.571430206298828,23.809524536132813,5.555555820465088,31.57894515991211,5,0,26464.879028320313,22566.646850585938,0,33410265088,0,3299893248,0
199,1764873510564,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,42.85714340209961,31.57894515991211,65,21.052631378173828,30.000001907348633,52.38095474243164,31.57894515991211,25,42.105262756347656,36.842105865478516,40,38.095237731933594,40,35,30.000001907348633,55,35,35,38.095237731933594,22.22222328186035,0,26476.381591796875,22577.82049560547,0,33410265088,0,3312885760,0
199,1764873510765,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,10.526315689086914,40,20,10,35,31.57894515991211,33.333335876464844,35,26.3157901763916,30.000001907348633,28.571430206298828,25,10.526315689086914,28.571430206298828,10,25,60.000003814697266,15.000000953674316,28.571430206298828,14.285715103149414,0,26492.518981933594,22593.623291015625,0,33410265088,0,3320451072,0
199,1764873510965,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,30.000001907348633,25,30.000001907348633,22.72727394104004,30.000001907348633,15.000000953674316,40,15.000000953674316,45.45454788208008,38.095237731933594,40,31.57894515991211,30.000001907348633,20,30.000001907348633,31.57894515991211,20,45,30.000001907348633,20,0,26499.903930664063,22600.699829101563,0,33410265088,0,3317346304,0
199,1764873511165,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,57.894737243652344,26.3157901763916,40,36.842105865478516,50,35,42.85714340209961,52.6315803527832,47.36842346191406,47.36842346191406,47.36842346191406,50,42.85714340209961,63.15789031982422,40,33.333335876464844,47.619049072265625,36.842105865478516,45,31.57894515991211,0,26508.55303955078,22609.0126953125,0,33410265088,0,3330412544,0
199,1764873511365,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,57.894737243652344,26.3157901763916,40,36.842105865478516,50,35,42.85714340209961,52.6315803527832,47.36842346191406,47.36842346191406,47.36842346191406,50,42.85714340209961,63.15789031982422,40,33.333335876464844,47.619049072265625,36.842105865478516,45,31.57894515991211,0,26515.25048828125,22615.421142578125,0,33410265088,0,3340771328,0
199,1764873511565,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,45,27.5,33.333335876464844,35.897438049316406,50,26.829269409179688,25.641027450561523,58.974361419677734,43.90243911743164,40,42.5,41.02564239501953,31.57894515991211,25,38.46154022216797,23.076923370361328,33.333335876464844,31.707317352294922,37.5,27.5,0,26527.965209960938,22627.80078125,0,33410265088,0,3362324480,0
199,1764873511765,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,26.3157901763916,0,20,9.523809432983398,19.047618865966797,15.000000953674316,30.000001907348633,5,21.052631378173828,30.000001907348633,21.052631378173828,34.78260803222656,21.052631378173828,13.636363983154297,20,42.85714340209961,20,5,26.3157901763916,23.809524536132813,0,26537.855895996094,22637.377380371094,0,33410265088,0,3359846400,0
199,1764873511965,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,26.3157901763916,0,20,9.523809432983398,19.047618865966797,15.000000953674316,30.000001907348633,5,21.052631378173828,30.000001907348633,21.052631378173828,34.78260803222656,21.052631378173828,13.636363983154297,20,42.85714340209961,20,5,26.3157901763916,23.809524536132813,0,26541.19842529297,22640.41973876953,0,33410265088,0,3363659776,0
199,1764873512165,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,45.238094329833984,41.46341323852539,41.02564239501953,42.105262756347656,34.21052551269531,39.47368621826172,44.73684310913086,36.585365295410156,56.41025924682617,51.28205490112305,57.142860412597656,53.84615707397461,48.780487060546875,28.947368621826172,51.28205490112305,40,52.499996185302734,30.000001907348633,45,30.76923179626465,0,26552.128784179688,22651.021728515625,0,33410265088,0,3367411712,0
